日付,曜日,祝日
2021/1/1,金,元日
2021/1/2,土,
2021/1/3,日,
2021/1/4,月,
2021/1/5,火,
2021/1/6,水,
2021/1/7,木,
2021/1/8,金,
2021/1/9,土,
2021/1/10,日,
2021/1/11,月,成人の日
2021/1/12,火,
2021/1/13,水,
2021/1/14,木,
2021/1/15,金,
2021/1/16,土,
2021/1/17,日,
2021/1/18,月,
2021/1/19,火,
2021/1/20,水,
2021/1/21,木,
2021/1/22,金,
2021/1/23,土,
2021/1/24,日,
2021/1/25,月,
2021/1/26,火,
2021/1/27,水,
2021/1/28,木,
2021/1/29,金,
2021/1/30,土,
2021/1/31,日,
2021/2/1,月,
2021/2/2,火,
2021/2/3,水,
2021/2/4,木,
2021/2/5,金,
2021/2/6,土,
2021/2/7,日,
2021/2/8,月,
2021/2/9,火,
2021/2/10,水,
2021/2/11,木,建国記念の日
2021/2/12,金,
2021/2/13,土,
2021/2/14,日,
2021/2/15,月,
2021/2/16,火,
2021/2/17,水,
2021/2/18,木,
2021/2/19,金,
2021/2/20,土,
2021/2/21,日,
2021/2/22,月,
2021/2/23,火,天皇誕生日
2021/2/24,水,
2021/2/25,木,
2021/2/26,金,
2021/2/27,土,
2021/2/28,日,
2021/3/1,月,
2021/3/2,火,
2021/3/3,水,
2021/3/4,木,
2021/3/5,金,
2021/3/6,土,
2021/3/7,日,
2021/3/8,月,
2021/3/9,火,
2021/3/10,水,
2021/3/11,木,
2021/3/12,金,
2021/3/13,土,
2021/3/14,日,
2021/3/15,月,
2021/3/16,火,
2021/3/17,水,
2021/3/18,木,
2021/3/19,金,
2021/3/20,土,春分の日
2021/3/21,日,
2021/3/22,月,
2021/3/23,火,
2021/3/24,水,
2021/3/25,木,
2021/3/26,金,
2021/3/27,土,
2021/3/28,日,
2021/3/29,月,
2021/3/30,火,
2021/3/31,水,
2021/4/1,木,
2021/4/2,金,
2021/4/3,土,
2021/4/4,日,
2021/4/5,月,
2021/4/6,火,
2021/4/7,水,
2021/4/8,木,
2021/4/9,金,
2021/4/10,土,
2021/4/11,日,
2021/4/12,月,
2021/4/13,火,
2021/4/14,水,
2021/4/15,木,
2021/4/16,金,
2021/4/17,土,
2021/4/18,日,
2021/4/19,月,
2021/4/20,火,
2021/4/21,水,
2021/4/22,木,
2021/4/23,金,
2021/4/24,土,
2021/4/25,日,
2021/4/26,月,
2021/4/27,火,
2021/4/28,水,
2021/4/29,木,昭和の日
2021/4/30,金,
2021/5/1,土,
2021/5/2,日,
2021/5/3,月,憲法記念日
2021/5/4,火,みどりの日
2021/5/5,水,こどもの日
2021/5/6,木,
2021/5/7,金,
2021/5/8,土,
2021/5/9,日,
2021/5/10,月,
2021/5/11,火,
2021/5/12,水,
2021/5/13,木,
2021/5/14,金,
2021/5/15,土,
2021/5/16,日,
2021/5/17,月,
2021/5/18,火,
2021/5/19,水,
2021/5/20,木,
2021/5/21,金,
2021/5/22,土,
2021/5/23,日,
2021/5/24,月,
2021/5/25,火,
2021/5/26,水,
2021/5/27,木,
2021/5/28,金,
2021/5/29,土,
2021/5/30,日,
2021/5/31,月,
2021/6/1,火,
2021/6/2,水,
2021/6/3,木,
2021/6/4,金,
2021/6/5,土,
2021/6/6,日,
2021/6/7,月,
2021/6/8,火,
2021/6/9,水,
2021/6/10,木,
2021/6/11,金,
2021/6/12,土,
2021/6/13,日,
2021/6/14,月,
2021/6/15,火,
2021/6/16,水,
2021/6/17,木,
2021/6/18,金,
2021/6/19,土,
2021/6/20,日,
2021/6/21,月,
2021/6/22,火,
2021/6/23,水,
2021/6/24,木,
2021/6/25,金,
2021/6/26,土,
2021/6/27,日,
2021/6/28,月,
2021/6/29,火,
2021/6/30,水,
2021/7/1,木,
2021/7/2,金,
2021/7/3,土,
2021/7/4,日,
2021/7/5,月,
2021/7/6,火,
2021/7/7,水,
2021/7/8,木,
2021/7/9,金,
2021/7/10,土,
2021/7/11,日,
2021/7/12,月,
2021/7/13,火,
2021/7/14,水,
2021/7/15,木,
2021/7/16,金,
2021/7/17,土,
2021/7/18,日,
2021/7/19,月,海の日
2021/7/20,火,
2021/7/21,水,
2021/7/22,木,
2021/7/23,金,
2021/7/24,土,
2021/7/25,日,
2021/7/26,月,
2021/7/27,火,
2021/7/28,水,
2021/7/29,木,
2021/7/30,金,
2021/7/31,土,
2021/8/1,日,
2021/8/2,月,
2021/8/3,火,
2021/8/4,水,
2021/8/5,木,
2021/8/6,金,
2021/8/7,土,
2021/8/8,日,
2021/8/9,月,
2021/8/10,火,
2021/8/11,水,山の日
2021/8/12,木,
2021/8/13,金,
2021/8/14,土,
2021/8/15,日,
2021/8/16,月,
2021/8/17,火,
2021/8/18,水,
2021/8/19,木,
2021/8/20,金,
2021/8/21,土,
2021/8/22,日,
2021/8/23,月,
2021/8/24,火,
2021/8/25,水,
2021/8/26,木,
2021/8/27,金,
2021/8/28,土,
2021/8/29,日,
2021/8/30,月,
2021/8/31,火,
2021/9/1,水,
2021/9/2,木,
2021/9/3,金,
2021/9/4,土,
2021/9/5,日,
2021/9/6,月,
2021/9/7,火,
2021/9/8,水,
2021/9/9,木,
2021/9/10,金,
2021/9/11,土,
2021/9/12,日,
2021/9/13,月,
2021/9/14,火,
2021/9/15,水,
2021/9/16,木,
2021/9/17,金,
2021/9/18,土,
2021/9/19,日,
2021/9/20,月,敬老の日
2021/9/21,火,
2021/9/22,水,
2021/9/23,木,秋分の日
2021/9/24,金,
2021/9/25,土,
2021/9/26,日,
2021/9/27,月,
2021/9/28,火,
2021/9/29,水,
2021/9/30,木,
2021/10/1,金,
2021/10/2,土,
2021/10/3,日,
2021/10/4,月,
2021/10/5,火,
2021/10/6,水,
2021/10/7,木,
2021/10/8,金,
2021/10/9,土,
2021/10/10,日,
2021/10/11,月,スポーツの日
2021/10/12,火,
2021/10/13,水,
2021/10/14,木,
2021/10/15,金,
2021/10/16,土,
2021/10/17,日,
2021/10/18,月,
2021/10/19,火,
2021/10/20,水,
2021/10/21,木,
2021/10/22,金,
2021/10/23,土,
2021/10/24,日,
2021/10/25,月,
2021/10/26,火,
2021/10/27,水,
2021/10/28,木,
2021/10/29,金,
2021/10/30,土,
2021/10/31,日,
2021/11/1,月,
2021/11/2,火,
2021/11/3,水,文化の日
2021/11/4,木,
2021/11/5,金,
2021/11/6,土,
2021/11/7,日,
2021/11/8,月,
2021/11/9,火,
2021/11/10,水,
2021/11/11,木,
2021/11/12,金,
2021/11/13,土,
2021/11/14,日,
2021/11/15,月,
2021/11/16,火,
2021/11/17,水,
2021/11/18,木,
2021/11/19,金,
2021/11/20,土,
2021/11/21,日,
2021/11/22,月,
2021/11/23,火,勤労感謝の日
2021/11/24,水,
2021/11/25,木,
2021/11/26,金,
2021/11/27,土,
2021/11/28,日,
2021/11/29,月,
2021/11/30,火,
2021/12/1,水,
2021/12/2,木,
2021/12/3,金,
2021/12/4,土,
2021/12/5,日,
2021/12/6,月,
2021/12/7,火,
2021/12/8,水,
2021/12/9,木,
2021/12/10,金,
2021/12/11,土,
2021/12/12,日,
2021/12/13,月,
2021/12/14,火,
2021/12/15,水,
2021/12/16,木,
2021/12/17,金,
2021/12/18,土,
2021/12/19,日,
2021/12/20,月,
2021/12/21,火,
2021/12/22,水,
2021/12/23,木,
2021/12/24,金,
2021/12/25,土,
2021/12/26,日,
2021/12/27,月,
2021/12/28,火,
2021/12/29,水,
2021/12/30,木,
2021/12/31,金,