専門法律相談,名簿登録要件,　研修内容,　必要な受講回数,研修日程（実施済み含む）
労働事件,"
【研修要件】
①登録２年以上／指定労働研修受講
②登録２年未満／指定労働研修＋労働講座受講","①「労働法の概要」
②「解雇・有期雇用」
③「労基法・労働時間問題」
④「労災・過労自殺」
⑤「派遣・請負」
⑥「セクハラ・パワハラ」　
⑦「労働審判」
⑧「集団的労使紛争」","【新規登録要件】
〔基準日において弁護士登録後２年以上を経過した者〕
  研修一覧①～⑧のうち、４つの受講。ただし、②、③は必須。
〔基準日において弁護士登録２年未満の者〕
　研修一覧②～⑧のうち、４つの受講。ただし、②、③は必須。
　加えて、①「労働法の概要」または労働研修（総合法律相談センター研修）のうち「労働者側」または「使用者側」のいずれか１つの受講。

【継続登録要件】
   平成３０年４月１日以前に登録要件を充足している場合、平成３１年度（平成３１年６月～平成３２年５月）に継続して登録するためには、以下の研修のうち、未履修の研修１つ以上の受講。
　ただし、既に全ての研修を受講し、継続登録要件を充足するために受講する研修がない場合には、継続登録要件を充足したものとします。
・「労働問題基礎講座」①～⑧
・労働問題アドバンス講座第１回「高年法」
・労働問題アドバンス講座第２回「労働契約法改正（有期雇用法制）」
・労働問題アドバンス講座第４回「パワハラ・メンタルヘルス」

【過去の受講済み講座の扱いについて（新規・継続共通）】
内容を更新した講座につき、過年度の同一テーマの講座を受講済みの場合でも、受講済み扱いとなりません。","[労働問題基礎講座]
　ライブ研修
　　⑧６月２７日（水）午後３時
　ＤＶＤ研修
　　①９月１３日（木）午前１０時、１２月１９日（水）午前１０時
　　②１０月１６日（火）午前１０時、１２月２５日（火）午後１時
　　③１０月３１日（水）午前１０時、１月９日（水）午後１時
　　④１１月２７日（火）午前１０時、１月２９日（火）午前１０時
　　⑤１０月２５日（木）午前１０時、１月１６日（水）午後１時
　　⑥１１月７日（水）午後１時、１月２１日（月）午前１０時
　　⑦１１月１２日（月）午後３時、１月２５日（金）午前１０時
　　⑧１２月１０日（月）午前１０時、２月１９日（火）午前１０時

[労働研修（総合法律相談センター研修）]
　ライブ研修　
　　使用者側　１月３１日（木）午後３時
　　労働者側　２月５日（火）午後５時　
  ＤＶＤ研修　
　　労働者側　２月１３日（水）午前１０時　
　　使用者側　２月２５日（月）午後３時　
[労働問題アドバンス講座第１回「高年法」]
　ＤＶＤ研修　１０月９日（火）午前１０時、１月１８日（金）午前１０時 
[労働問題アドバンス講座第２回「労働契約法改正（有期雇用法制）」]
　ＤＶＤ研修　１２月３日（月）午後４時、１月２２日（火）午前１０時 
[労働問題アドバンス講座第４回「パワハラ・メンタルヘルス」]
　ＤＶＤ研修　 １２月６日（木）午後４時、２月１５日（金）午後１時"
交通事故,"実務・研修の両方とも要件を満たすこと。

【実務要件】
基準日前１０年以内に交通事故の人身事故に係る事件（交渉を含む。）を３件以上受任したこと又はこれと同等の経験を有すると運営委員会が認める者であること。

【研修要件】
指定交通研修受講
","①「交通事故研修第２回-軽度神経障害について-」
②「交通事故研修第２回-民事交通事件における実務上の諸問題について-」
③「自動車事故における物損事故対応知識」
④「物損に関する研修（仮）」
","【新規登録要件】
   ４テーマのうち２つの受講。

　なお、以前にいずれかの研修１つのみを受講されたことがある場合は、本年度は研修１つの受講で要件充足となります。

【継続登録要件】
   平成３０年４月１日以前に登録要件を充足している場合、平成３１年度（平成３１年６月～平成３２年５月）に継続登録するためには、既に受講済みの研修を除き、１つ以上の受講。
","ライブ研修
　④１０月２９日（月）午後３時

ＤＶＤ研修
　①６月５日（火）午後１時、１０月２日（火）午後１時、１月９日（水）午前１０時
　②６月１３日（水）午後１時、１１月２０日（火）午前１０時、１月１０日（木）午後１時
　③７月１３日（金）午前１０時、７月２３日（月）午後１時、１２月３日（月）午前１０時
　　 ２月６日（水）午前１０時、２月２０日（水）午前１０時
　④１月２５日（金）午前１０時、２月２８日（木）午後２時"
サラ金,"【研修要件】
指定サラ金研修受講

依頼者から費用分割・法律扶助依頼があった場合に応じること。","①「債務整理全般」
②「自己破産」
③「個人再生」","３テーマ全ての受講。


","ＤＶＤ研修
　①９月１１日（火）午前１０時、１０月２２日（月）午前１０時、１月２８日（月）午前１０時
　②９月２５日（火）午後１時、１１月１６日（金）午前１０時、２月１８日（金）午前１０時
　③１０月１２日（金）午前１０時、１２月６日（木）午後１時、２月２２日（金）午前１０時"
消費者,"【研修要件】
指定消費者研修受講","【必須】（３テーマ）
①「消費者契約法について」
②「割賦販売法について」
③「特定商取引法について」

【選択】（３テーマ中、２テーマ）
④「投資被害救済について」
⑤「ＰＬ事件について」
⑥「電子商取引法・独占禁止法・景表法について」","６テーマのうち５つの受講。ただし、①、②、③は必須。

　今年度、②、③、④、⑥は内容の一部を改め、改訂版を実施することとなりました。そのため、平成３０年４月１日以前において②、③、④、⑥を受講済みの場合でも、改訂版（平成３０年度ライブ研修実施版）を受講しない限り、受講済み扱いとはなりません。  ","ライブ研修
　②９月１１日（火）午後１時
　③１０月３日（水）午前１０時
　④１１月１６日（金）午後１時
　⑥９月２０日（木）午前１０時
ＤＶＤ研修
　①９月２８日（金）午後１時、１０月１５日（月）午前１０時、１２月２０日（木）午前１０時
　②１２月６日（木）午前１０時、１月２１日（月）午前１０時
　③１１月６日（火）午後３時、１月２３日（水）午前１０時
　④１２月１１日（火）午前１０時、２月７日（木）午前１０時
　⑤１０月１２日（金）午後１時、１１月２８日（水）午後３時、２月２１日（木）午前１０時
　⑥１月１６日（水）午前１０時、２月２８日（木）午前１０時"
医療事故,"①実務・研修の両方とも要件を満たすこと。
②研修要件のみ充足者は研修・実務の両方の要件充足者と共同担当。

【実務要件】
基準日前１０年以内に医療事故に関する訴訟を２件以上取り扱ったことがあること。ただし、５年以内に１件以上の取扱いがない場合、１０年以内に訴訟２件以上の取扱いがあることに加え、３年以内に運営委員会が指定する医療事故研修を受講していること。

【研修要件】
指定医療研修受講","①「医療事件ガイダンス（総論）・相談～証拠保全～提訴」
②「医療訴訟の現状と当事者代理人に望むこと・提訴後の対応」
","２テーマ全ての受講。

","ＤＶＤ研修
　①１０月３日（水）午後１時、１２月１８日（火）午前１０時
　②１１月２７日（火）午後１時、２月２２日（金）午後４時"
知的財産,"①実務要件充足者は相談担当可能。
②研修要件のみ充足者は、実務要件充足者と共同担当。

【実務要件】
訴訟案件（侵害訴訟に限らず、特許・実用新案・意匠・商標・不正競争防止法・著作権等に関係する訴訟を広く含む。）または特許庁での審判・異議申立て事件の経験があること。

【研修要件】
指定知財研修受講
","①「技術に関する紛争」
②「表示に関する紛争」
③「デザインに関する紛争・著作権」


","３テーマ全ての受講。



","ＤＶＤ研修
　①９月２１日（金）午前１０時、１０月１５日（月）午前１０時、１月１６日（水）午後１時
　②９月２５日（火）午前１０時、１２月３日（月）午前１０時、１月２１日（月）午後１時
　③１０月４日（木）午前１０時、１２月２１日（金）午前１０時、２月２２日（金）午後１時"
建築,"①実務要件充足者は相談担当可。
②研修要件のみ充足者は、実務要件充足者と共同担当。

【実務要件】
基準日前５年以内に、建物の売買、工事その他建物に関連する訴訟、調停等の裁判手続又はＡＤＲによる紛争処理手続における手続代理（境界紛争を除く。）を２件以上（うち１件以上は建物の瑕疵を主たる争点とする事件に限る。）取り扱ったことがあること。

【研修要件】
指定建築研修受講","①「建築相談（法的観点から）」～建築関係訴訟における設計上及び施行上の瑕疵についての各論的検討～
②「建築相談（技術的観点から）」～建築紛争の実務～
③「建築瑕疵事件の相談を受けたときの留意点」（本年度は実施しません。）
④「建築紛争における弁護士と建築士の役割分担」
⑤「建築紛争セミナー２　追加・変更工事　紛争と解決」","４テーマのうち２つの受講。
※③「建築瑕疵事件の相談を受けたときの留意点」は実施しません。","ＤＶＤ研修
　①１０月４日（木）午後２時、１２月３日（月）午後１時
　②１０月２９日（月）午後１時、１２月１０日（月）午後１時
　③本年度は実施しません。
　④１０月３０日（火）午後１時、１２月１７日（月）午後１時
　⑤１１月２１日（水）午後１時、２月６日（水）午後３時"
外国人,"【研修要件】
指定外国人研修受講","①「入管関係法」
②「行政争訟等」
③「準拠法、家事」
④「外国人の労働、社会保障、刑事、通訳人」

","４テーマのうち２つの受講。

　今年度、①、③、④の内容を改訂し、ライブ研修を実施することとなりました。ただし、平成２９年度までに同研修を受講いただいた方は、専門相談担当者の登録のために、本研修を改めて受講していただく必要はございません。","ライブ研修
　①９月２６日（水）正午
　③９月１９日（水）午後３時
　④１０月１日（月）午後１時
ＤＶＤ研修
　①１月２５日（金）午前１０時
　②１０月１２日（金）午後４時、２月６日（水）午後１時
　③２月１８日（月）午前１０時
　④１月９日（水）午前１０時"
生活保護,"実務・研修の両方とも要件を満たすこと。

【実務要件】
基準日前１０年以内に生活保護申請または交渉同行支援または審査請求を３件以上取り扱ったことがあること。
　
【研修要件】
指定生活保護研修受講
","【必須】（１テーマ）
①「生活保護法律相談の基礎知識」

【選択】（３テーマ中２テーマ）
②「精神障がいと依存症を知る」
③「生活困窮者支援」
④「生活保護審査請求・徹底活用術」","４テーマのうち３つの受講。ただし、①は必須。
","ライブ研修
　①９月１２日（水）午後６時
　②９月２６日（水）午後６時３０分
　③１０月２日（火）午後６時
　④１０月３０日（火）午後６時
ＤＶＤ研修
　①９月２８日（金）午後１時、２月２０日（水）午後１時
　②１０月１５日（月）午後２時、１月１０日（木）午前１０時
　③１１月２１日（水）午後１時、１月２５日（金）午後１時
　④１２月４日（火）午後１時、２月８日（金）午後３時"
犯罪被害者,"実務または研修のどちらかの要件を満たすこと。

【実務要件】
次の①と②のいずれかを取り扱った経験があること。
①犯罪被害者等の依頼により行う法律事務
②弁護士会又は犯罪被害者支援団体により行われる犯罪被害者等支援活動

【研修要件】
指定犯罪被害者研修受講","①「被害者参加人を支援するために何をなすべきか」
②「犯罪被害者支援活動のいろは」
③「検察官にヤル気の起こさせる刑事告訴とは」
④「ＤＶ事件の具体的対応」
⑤「性暴力被害者への支援を学ぶ」
⑥「依頼者＝犯罪被害者のニーズに応じた被害者支援制度を学ぶ」","６テーマのうち２つの受講。

なお、以前にいずれかの研修１つのみを受講されたことがある場合は、本年度は研修１つの受講で要件充足となります。","ＤＶＤ研修
　①１０月１５日（月）午後１時
　②１２月２１日（金）午後１時
　③１月１１日（金）午前１０時
　④９月２０日（木）午前１０時
　⑤１１月２６日（月）午後３時
　⑥２月２８日（木）午後１時"
離婚,"【研修要件】
指定離婚研修受講","①「離婚に関する法的諸問題（子をめぐる問題を除く。）」
②「離婚における子をめぐる問題、離婚に関連する心理的対応について」
③「離婚に関連する諸制度（戸籍、税制、保護命令手続等、社会保障制度等）」","【新規登録要件】
　３テーマ全ての受講。

【継続登録要件】
　平成３０年４月１日以前に登録要件を充足している場合、平成３１年度（平成３１年６月～平成３２年５月）に継続登録するためには、アドバンス研修（未履修の研修）１つを受講。
①「不貞慰謝料請求の実務」
②「養育費・婚姻費用算定表の特別事情に関する諸問題」
③「国際離婚（仮題）」","【新規登録要件研修】
ＤＶＤ研修
　①１０月２日（火）午後４時、１月２１日（月）午後１時
　②１１月７日（水）午前１０時、２月１５日（金）午前１０時
　③１２月３日（月）午後１時、２月２６日（火）午前１０時

【継続登録要件研修（アドバンス研修）】
ライブ研修
　②７月５日（木）午後１時
　③１１月２日（金）午後６時

ＤＶＤ研修
　①９月１９日（水）午後１時、１１月２７日（火）午後１時
　②１０月１６日（火）午前１０時、１月９日（水）午後４時
　③１１月２日（金）午後６時、１月１０日（木）午前１０時"
"遺言・相続
","以下の両方とも要件を満たすこと。

【研修要件】
指定遺言・相続研修受講

【その他要件】
弁護士登録２年以上であること。","①相続実務に活かすための相続税法の知識
②遺言に関する事例研修
③相続ヒヤリハットに関する事例研修","３テーマ全ての受講。
※なお、遺言・相続センターが実施する電話相談については、指定するテーマのうち、２つの受講が登録要件となります。","ＤＶＤ研修
　①１０月９日（火）午後１時、１月２３日（水）午前１０時、２月２６日（火）午後１時
　②１０月１１日（木）午後１時、１月２４日（木）午後１時、２月２５日（月）午後２時
　③１０月３日（水）午後１時、２月２８日（金）午後１時、３月１８日（月）午前１０時"
,,,,
,,,,